stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
distance,set013-A4_52.txt,13,28.9,28.27,28.27,28.27,27.65,28.27,28.27,28.27,27.65,28.27,28.27,27.65,28.27,27.65,27.65,27.65,28.27,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65
trough,set013-B1_183.txt,13,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906,11906
speed,set013-B1_183.txt,13,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
distance,set013-B1_183.txt,13,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28,7479.28
trough,set013-B1_229.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B1_229.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B1_229.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B1_27.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B1_27.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B1_27.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B2_112.txt,13,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
speed,set013-B2_112.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B2_112.txt,13,1.26,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
trough,set013-B2_137.txt,13,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
speed,set013-B2_137.txt,13,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
distance,set013-B2_137.txt,13,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57
trough,set013-B2_149.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B2_149.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B2_149.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B2_310.txt,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
speed,set013-B2_310.txt,13,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
distance,set013-B2_310.txt,13,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28
trough,set013-B2_371.txt,13,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584
speed,set013-B2_371.txt,13,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
distance,set013-B2_371.txt,13,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79,363.79
trough,set013-B2_392.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B2_392.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B2_392.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B2_90.txt,13,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046
speed,set013-B2_90.txt,13,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
distance,set013-B2_90.txt,13,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41
trough,set013-B3_217.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B3_217.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B3_217.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B3_327.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B3_327.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B3_327.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B3_329.txt,13,13,14,14,13,13,14,13,13,14,14,13,13,14,16,16,13,14,16,15,15,16,16,15,14,13
speed,set013-B3_329.txt,13,1.59,4.38,3.96,3.96,3.95,3.96,3.96,3.96,6.78,7.13,3.96,3.95,7.13,7.61,7.31,3.95,7.13,7.61,5.74,5.74,7.61,7.31,5.74,5.74,4.79
distance,set013-B3_329.txt,13,3.14,4.4,4.4,4.4,4.4,4.4,4.4,4.4,5.03,5.03,4.4,4.4,5.03,6.28,6.28,4.4,5.03,6.28,5.65,5.65,6.28,6.28,5.65,5.65,5.03
trough,set013-B3_345.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B3_345.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B3_345.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B3_350.txt,13,3464,3466,3468,3469,3474,3469,3470,3468,3486,3518,3469,3472,3501,3528,3582,3486,3518,3563,3616,3705,3545,3570,3658,3722,3837
speed,set013-B3_350.txt,13,0.3,0.31,0.32,0.32,0.35,0.32,0.32,0.33,0.39,0.52,0.32,0.34,0.45,0.56,0.79,0.39,0.52,0.71,0.92,1.28,0.63,0.74,1.09,1.35,1.89
distance,set013-B3_350.txt,13,2173.29,2174.55,2176.43,2177.69,2181.46,2176.43,2177.69,2177.69,2189.0,2209.1,2177.69,2180.2,2198.42,2215.39,2249.31,2189.0,2209.1,2237.38,2270.68,2326.59,2226.07,2241.77,2297.06,2337.28,2409.53
trough,set013-B3_43.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B3_43.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B3_43.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B3_57.txt,13,7,7,7,7,6,7,7,7,6,6,7,6,6,6,6,6,6,6,5,5,6,6,5,5,5
speed,set013-B3_57.txt,13,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.6,1.6,1.24,1.24,1.6,1.6,1.6
distance,set013-B3_57.txt,13,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,1.88,1.88,2.51,2.51,1.88,1.88,1.88
trough,set013-B4_19.txt,13,2579,2578,2574,2568,2554,2577,2569,2561,2533,2501,2566,2554,2512,2456,2346,2533,2475,2370,2252,2146,2425,2346,2210,2104,1967
speed,set013-B4_19.txt,13,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.24
distance,set013-B4_19.txt,13,1618.5,1617.87,1615.36,1610.33,1599.65,1617.24,1610.96,1604.68,1584.57,1558.81,1609.08,1599.65,1566.98,1525.51,1434.41,1584.57,1538.08,1453.26,1368.44,1293.04,1499.12,1434.41,1338.28,1266.65,1176.81
trough,set013-B4_21.txt,13,834,831,826,821,820,830,823,820,818,813,821,820,816,811,799,818,812,802,782,764,807,799,774,761,728
speed,set013-B4_21.txt,13,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
distance,set013-B4_21.txt,13,521.49,519.6,517.09,513.32,512.06,518.98,513.95,512.06,510.18,505.15,513.32,512.06,507.67,503.27,491.96,510.18,504.52,495.1,475.62,462.43,499.5,491.96,468.71,459.92,432.27
trough,set013-B4_326.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B4_326.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B4_326.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B4_394.txt,13,35,35,34,33,33,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
speed,set013-B4_394.txt,13,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
distance,set013-B4_394.txt,13,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85
trough,set013-B4_437.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B4_437.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B4_437.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-B4_99.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-B4_99.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-B4_99.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set015-A1_110.txt,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
speed,set015-A1_110.txt,15,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
distance,set015-A1_110.txt,15,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54
trough,set015-A1_135.txt,15,3,3,3,3,4,3,3,3,158,2,3,4,2,2,2,73,2,2,2,2,2,2,2,2,2
speed,set015-A1_135.txt,15,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0
distance,set015-A1_135.txt,15,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,98.01,0,0.63,0.63,0,0,0,43.98,0,0,0,0,0,0,0,0,0
trough,set015-A1_211.txt,15,62,60,2,2,2,52,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
speed,set015-A1_211.txt,15,2.21,3.16,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set015-A1_211.txt,15,31.41,34.56,0,0,0,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set015-A1_212.txt,15,46,65,75,56,37,74,85,75,29,11,70,37,17,4,2,29,8,3,2,2,3,2,2,2,2
speed,set015-A1_212.txt,15,4.19,3.97,3.27,1.8,1.41,4.21,2.78,2.07,1.96,0.72,2.52,1.41,1.2,0,0,1.96,4.06,0,0,0,0,0,0,0,0
distance,set015-A1_212.txt,15,20.11,30.79,37.07,31.41,20.73,36.44,46.49,42.72,15.71,5.03,40.21,20.73,8.17,1.26,0,15.71,3.14,0.63,0,0,0.63,0,0,0,0
trough,set015-A1_248.txt,15,12,13,14,16,5,12,12,23,10,47,16,5,12,1,1,5,1,1,1,1,1,1,1,1,1
speed,set015-A1_248.txt,15,2.37,1.19,2.2,2.76,0,1.0,0.92,4.71,0.48,2.76,2.76,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0
distance,set015-A1_248.txt,15,5.65,6.28,6.91,8.17,1.26,5.65,5.65,12.57,4.4,28.27,8.17,1.26,6.28,0,0,1.26,0,0,0,0,0,0,0,0,0
trough,set015-A1_253.txt,15,199,102,94,84,79,102,92,80,72,72,82,80,72,72,72,72,72,72,72,72,72,72,72,72,72
speed,set015-A1_253.txt,15,2.24,1.45,1.18,0.79,0.68,1.64,1.07,0.63,0.45,0.45,0.74,0.51,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.46
distance,set015-A1_253.txt,15,113.72,53.41,50.26,44.61,42.72,55.29,49.01,42.1,38.95,38.95,43.35,43.35,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.33
trough,set015-A1_293.txt,15,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
speed,set015-A1_293.txt,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set015-A1_293.txt,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set015-A1_31.txt,15,126,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
speed,set015-A1_31.txt,15,2.93,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
distance,set015-A1_31.txt,15,75.4,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65
trough,set015-A1_311.txt,15,52,131,62,62,62,82,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
speed,set015-A1_311.txt,15,0.6,2.98,0.31,0.31,0.31,1.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
distance,set015-A1_311.txt,15,22.62,68.48,25.76,25.76,25.76,40.21,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76,25.76
trough,set015-A1_335.txt,15,51,62,66,72,51,62,68,68,48,20,72,51,26,8,3,49,12,4,3,3,8,3,3,3,3
speed,set015-A1_335.txt,15,1.87,3.34,2.69,3.07,2.87,2.55,2.82,3.56,2.5,2.38,3.07,2.87,2.57,0.62,0,2.98,2.09,0,0,0,0.62,0,0,0,0
distance,set015-A1_335.txt,15,23.88,32.67,35.18,38.95,26.39,32.67,36.44,35.81,25.76,9.42,38.95,26.39,13.19,2.51,0,26.39,5.03,0,0,0,2.51,0,0,0,0
trough,set015-A1_347.txt,15,76,67,78,127,25,78,110,32,14,5,50,25,7,4,4,14,4,4,4,4,4,4,4,4,4
speed,set015-A1_347.txt,15,3.3,2.33,2.9,2.19,1.81,2.98,2.47,1.46,1.84,0,2.28,1.81,1.9,0,0,1.84,0,0,0,0,0,0,0,0,0
distance,set015-A1_347.txt,15,37.7,32.04,38.33,75.4,11.94,38.33,62.2,16.34,6.28,1.26,26.39,11.94,1.88,1.26,1.26,6.28,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
trough,set015-A1_395.txt,15,121,68,132,50,3,186,21,3,3,3,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3
speed,set015-A1_395.txt,15,2.89,2.52,3.14,2.61,0,1.79,1.33,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set015-A1_395.txt,15,64.71,34.56,77.28,28.27,0.63,109.32,8.17,0.63,0.63,0.63,28.27,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
trough,set015-A1_397.txt,15,15,17,19,25,19,18,23,20,16,13,24,21,14,13,12,16,13,12,12,12,12,12,12,12,12
