stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
speed,set008-A3_40.txt,08,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
distance,set008-A3_40.txt,08,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48,996.48
trough,set008-A3_90.txt,08,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
speed,set008-A3_90.txt,08,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
distance,set008-A3_90.txt,08,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
trough,set008-A4_119.txt,08,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
speed,set008-A4_119.txt,08,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
distance,set008-A4_119.txt,08,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57
trough,set008-A4_140.txt,08,94,41,24,24,24,29,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
speed,set008-A4_140.txt,08,3.58,0.65,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
distance,set008-A4_140.txt,08,45.24,16.34,10.68,10.68,10.68,11.31,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68
trough,set008-A4_231.txt,08,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612
