ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,recording_duration,max_speed
205,set006-2-24-2020-B2_205.txt,T1,B-2,B,2,06,0.23,1236.49,6.28,0,1224.14,0.18,6795.23,0.37
240,set006-2-24-2020-B2_240.txt,T1,B-2,B,2,06,0,0,0,0,0,0,2267.71,0
259,set006-2-24-2020-B2_259.txt,T1,B-2,B,2,06,0.3,1246.64,10.05,0,674.56,0.56,2229.87,0.42
390,set006-2-24-2020-B2_390.txt,T1,B-2,B,2,06,0,0,0,0,0,0,2103.27,0
405,set006-2-24-2020-B2_405.txt,T1,B-2,B,2,06,0,0,0,0,0,0,2275.63,0
47,set006-2-24-2020-B2_47.txt,T1,B-2,B,2,06,0.37,27759.02,10115.0,0,27707.54,1.0,27828.11,0.5
72,set006-2-24-2020-B2_72.txt,T1,B-2,B,2,06,0.61,0,1.88,0,0,0,2345.91,0.71
103,set006-2-24-2020-B3_103.txt,T1,B-3,B,3,06,0.26,0,3.14,0,0,0,2118.99,0.16
13,set006-2-24-2020-B3_13.txt,T1,B-3,B,3,06,0.22,52.31,3.77,0,46.44,0.02,2444.71,0.3
2,set006-2-24-2020-B3_2.txt,T1,B-3,B,3,06,0,0,0,0,0,0,2409.99,0
230,set006-2-24-2020-B3_230.txt,T1,B-3,B,3,06,0.2,612.65,10.68,0,565.49,0.26,2333.51,0.32
233,set006-2-24-2020-B3_233.txt,T1,B-3,B,3,06,0,0,0,0,0,0,2116.03,0
411,set006-2-24-2020-B3_411.txt,T1,B-3,B,3,06,0.18,18.1,6.28,0,7.8,0.01,2123.27,0.24
415,set006-2-24-2020-B3_415.txt,T1,B-3,B,3,06,0.17,1556.72,245.67,0,1556.72,0.17,9071.87,0.34
43,set006-2-24-2020-B3_43.txt,T1,B-3,B,3,06,0,0,0,0,0,0,2246.55,0
403,set006-2-24-2020-B4_403.txt,T1,B-4,B,4,06,0.25,35743.59,8826.99,0,35743.59,0.74,48021.99,0.51
201,set007-2-25-2020-A1_201.txt,T1,A-1,A,1,07,0.36,10380.99,3338.16,0,9856.02,1.0,10422.43,0.54
246,set007-2-25-2020-A1_246.txt,T1,A-1,A,1,07,0,0,0,0,0,0,1766.35,0
394,set007-2-25-2020-A1_394.txt,T1,A-1,A,1,07,0.42,36982.67,14887.57,0,36982.67,1.0,37047.19,0.61
188,set007-2-25-2020-A2_188.txt,T1,A-2,A,2,07,0.15,790.22,2.51,0,784.08,0.36,2170.43,0.21
222,set007-2-25-2020-A2_222.txt,T1,A-2,A,2,07,0,0,0.63,0,0,0,2124.79,0
237,set007-2-25-2020-A2_237.txt,T1,A-2,A,2,07,0,0,0,0,0,0,2269.31,0
346,set007-2-25-2020-A2_346.txt,T1,A-2,A,2,07,0.19,12.13,4.4,0,12.13,0.01,2227.67,0.27
382,set007-2-25-2020-A2_382.txt,T1,A-2,A,2,07,0.21,14898.35,2889.55,0,14898.35,0.95,15650.87,0.4
383,set007-2-25-2020-A2_383.txt,T1,A-2,A,2,07,0.38,16490.27,6064.98,0,10748.15,0.73,22624.59,0.61
59,set007-2-25-2020-A2_59.txt,T1,A-2,A,2,07,0,0,0.63,0,0,0,2168.27,0
184,set007-2-25-2020-A3_184.txt,T1,A-3,A,3,07,0.21,74.69,16.34,0,25.24,0.03,2171.95,0.31
209,set007-2-25-2020-A3_209.txt,T1,A-3,A,3,07,0.31,9179.05,2601.79,0,9179.05,0.96,9541.23,0.56
235,set007-2-25-2020-A3_235.txt,T1,A-3,A,3,07,0.28,15.22,5.03,0,15.22,0.01,2211.39,0.43
25,set007-2-25-2020-A3_25.txt,T1,A-3,A,3,07,0.27,1716.75,450.49,0,1716.75,0.63,2736.31,0.5
263,set007-2-25-2020-A3_263.txt,T1,A-3,A,3,07,0,0,0.63,0,0,0,2140.95,0
30,set007-2-25-2020-A3_30.txt,T1,A-3,A,3,07,0.24,1252.37,5.03,0,1246.94,0.59,2137.31,0.38
339,set007-2-25-2020-A3_339.txt,T1,A-3,A,3,07,0.16,0,1.88,0,0,0,1949.63,0
53,set007-2-25-2020-A3_53.txt,T1,A-3,A,3,07,0.27,40.83,13.19,0,16.14,0.02,2297.03,0.41
266,set007-2-25-2020-A4_266.txt,T1,A-4,A,4,07,0,0,0,0,0,0,2152.43,0
349,set007-2-25-2020-A4_349.txt,T1,A-4,A,4,07,0.24,0,1.88,0,0,0,2364.23,0
42,set007-2-25-2020-A4_42.txt,T1,A-4,A,4,07,0.42,652.76,263.89,170.4,482.36,0.29,2223.99,0.54
48,set007-2-25-2020-A4_48.txt,T1,A-4,A,4,07,0.28,23.62,6.91,0,22.63,0.01,1920.0,0.73
56,set007-2-25-2020-A4_56.txt,T1,A-4,A,4,07,0.36,16823.15,5303.48,101.45,10072.63,0.84,19945.3,0.83
260,set007-2-25-2020-B1_260.txt,T1,B-1,B,1,07,0,0,0,0,0,0,2250.39,0
282,set007-2-25-2020-B1_282.txt,T1,B-1,B,1,07,0.28,41910.43,11391.71,217.9,35009.78,0.92,45400.51,0.56
