ID,sex,population,site,host_plant,short-wing?,latitude,longitude,field_date_collected
124,M,North Key Largo,N. Dagny,C. corindum,N,25.1820931,-80.3631938,2.5.2020
125,M,North Key Largo,N. Dagny,C. corindum,N,25.1820931,-80.3631938,2.5.2020
126,F,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
127,F,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
128,M,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
129,M,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
130,F,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
131,M,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
132,F,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
133,F,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
134,M,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
135,F,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
136,F,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
137,M,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
138,M,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
139,M,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
140,F,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
141,F,North Key Largo,MM165,C. corindum,N,25.2275238,-80.3283788,2.4.2020
142,F,North Key Largo,MM165,C. corindum,N,25.2275238,-80.3283788,2.4.2020
143,M,North Key Largo,MM165,C. corindum,N,25.2275238,-80.3283788,2.4.2020
144,M,North Key Largo,MM165,C. corindum,N,25.2275238,-80.3283788,2.4.2020
145,M,North Key Largo,MM165,C. corindum,N,25.2275238,-80.3283788,2.4.2020
146,F,North Key Largo,Dynamite Docks,C. corindum,N,25.286747,-80.290592,2.3.2020
147,F,North Key Largo,Dynamite Docks,C. corindum,N,25.286747,-80.290592,2.3.2020
148,F,North Key Largo,Dynamite Docks,C. corindum,N,25.286747,-80.290592,2.3.2020
149,F,North Key Largo,Dynamite Docks,C. corindum,N,25.286747,-80.290592,2.3.2020
150,M,North Key Largo,Dynamite Docks,C. corindum,N,25.286747,-80.290592,2.3.2020
151,F,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
152,M,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
153,M,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
154,M,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
155,F,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
156,F,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
157,M,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
158,M,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
159,M,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
160,F,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
161,F,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
162,F,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
163,F,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
164,F,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
165,M,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
166,M,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
167,M,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
168,F,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
169,M,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
170,M,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
171,F,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
172,F,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
173,F,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
174,M,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
175,M,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
176,F,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
177,F,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
178,F,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
179,F,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
180,F,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
181,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
182,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
183,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
184,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
185,F,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
