ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,recording_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes,tested
189,set001-2-17-2020-B4_189.txt,T1,B-4,B,4,1,0.52,1103.4,307.87,63.5,568.16,0.5,2212.59,0.68,2020-02-17,12:50:00,13:22:00,1920.0,F,Leesburg,Lake,Mount & 8th,K.elegans,Y,B,,0.041,N,28.7963435,-81.8778849,,6.07,3.45,8.93,12.33,L,,yes
21,set001-2-17-2020-B4_21.txt,T1,B-4,B,4,1,0.27,649.61,8.8,0.0,616.38,0.3,2151.83,0.47,2020-02-17,9:55:00,10:27:00,1920.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,B,,0.034,N,25.273488500000006,-80.3040957,,6.03,2.9,7.68,10.67,L,,yes
23,set001-2-17-2020-B4_23.txt,T1,B-4,B,4,1,0.0,0.0,1.26,0.0,0.0,0.0,2160.59,0.0,2020-02-17,12:14:00,12:45:00,1860.0,M,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.034,N,25.273488500000006,-80.3040957,,5.44,2.97,7.66,10.67,L,wings torn at the end,yes
239,set001-2-17-2020-B4_239.txt,T1,B-4,B,4,1,0.0,0.0,0.63,0.0,0.0,0.0,2218.47,0.0,2020-02-17,9:15:00,09:50:00,2100.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.033,N,25.1755702,-80.36780089,,5.42,2.82,7.6,10.59,L,,yes
252,set001-2-17-2020-B4_252.txt,T1,B-4,B,4,1,0.29,40.39,12.57,0.0,40.39,0.02,1822.75,0.35,2020-02-17,8:45:00,09:15:00,1800.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,,0.038,N,25.491362,-80.485821,,5.81,2.8,7.91,10.81,L,,yes
268,set001-2-17-2020-B4_268.txt,T1,B-4,B,4,1,0.21,18370.0,3803.1,0.0,18370.0,0.65,28241.71,0.47,2020-02-17,13:27:00,18:43:18,18978.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.033,N,27.298631,-81.36615,,5.58,2.84,7.8,10.96,L,,yes
354,set001-2-17-2020-B4_354.txt,T1,B-4,B,4,1,0.18,3984.61,701.81,0.0,3984.61,0.95,4206.31,0.38,2020-02-17,11:04:00,12:12:00,4080.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,C,,0.027000000000000003,N,25.1820931,-80.36319379999998,,5.47,2.72,6.73,9.77,L,wings torn at the end,yes
374,set001-2-17-2020-B4_374.txt,T1,B-4,B,4,1,0.0,0.0,0.0,0.0,0.0,0.0,2296.55,0.0,2020-02-17,8:15:00,08:45:00,1800.0,F,Lake Placid,Highlands,110N Main,K.elegans,N,,,0.078,Y,27.298631,-81.36615,22.0,7.92,3.37,9.53,13.16,L,,yes
381,set001-2-17-2020-B4_381.txt,T1,B-4,B,4,1,0.0,0.0,0.0,0.0,0.0,0.0,2090.15,0.0,2020-02-17,10:29:00,11:01:00,1920.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,N,,,0.033,N,29.66200224,-82.347313,,5.76,3.42,8.96,12.03,L,wings torn at the end,yes
144,set002-2-18-2020-A2_144.txt,T1,A-2,A,2,2,0.23,34202.22,6956.54,104.95,19722.19,0.79,43194.99,0.46,2020-02-18,8:03:00,15:56:47,28427.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.033,N,25.2275238,-80.3283788,,6.09,2.9,8.08,10.86,L,,yes
100,set002-2-18-2020-A3_100.txt,T1,A-3,A,3,2,0.31,711.39,23.25,78.74,628.28,0.32,2220.83,0.45,2020-02-18,8:04:00,08:38:00,2040.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,B,,0.047,N,25.2275238,-80.3283788,,6.41,3.25,8.62,11.65,L,,yes
17,set002-2-18-2020-A3_17.txt,T1,A-3,A,3,2,0.28,18567.34,5210.49,0.0,18567.34,1.0,18590.27,0.38,2020-02-18,14:53:00,20:03:38,18638.0,M,Key Largo,Key Largo,JP,C. corindum,Y,C,,0.04,N,25.1284578,-80.4080913,,6.18,3.03,8.04,10.94,L,,yes
190,set002-2-18-2020-A3_190.txt,T1,A-3,A,3,2,0.0,0.0,0.63,0.0,0.0,0.0,2081.83,0.0,2020-02-18,9:19:00,09:53:00,2040.0,M,Leesburg,Lake,Mount & 8th,K.elegans,N,,,0.043,N,28.7963435,-81.8778849,,5.99,3.22,8.59,11.72,L,wings torn at the end,yes
228,set002-2-18-2020-A3_228.txt,T1,A-3,A,3,2,0.23,15968.93,3664.87,0.0,15968.93,0.89,17966.47,0.41,2020-02-18,9:54:00,14:41:00,17220.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,C,,0.037000000000000005,N,25.19515,-80.345916,,6.39,3.18,8.41,11.86,L,,yes
4,set002-2-18-2020-A3_4.txt,T1,A-3,A,3,2,0.2,607.42,5.03,0.0,599.11,0.26,2335.55,0.29,2020-02-18,8:40:00,09:16:00,2160.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,,,0.035,N,24.9735748,-80.5539224,,6.21,2.97,7.87,10.9,L,,yes
122,set002-2-18-2020-A4_122.txt,T1,A-4,A,4,2,0.32,1302.78,11.31,0.0,730.25,0.64,2031.83,0.39,2020-02-18,15:54:00,16:29:00,2100.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.032,N,25.1820931,-80.36319379999998,,5.67,2.98,7.01,10.08,L,wings torn at the end,yes
130,set002-2-18-2020-A4_130.txt,T1,A-4,A,4,2,0.42,27391.98,11170.55,0.0,27391.98,0.97,28285.15,0.62,2020-02-18,8:05:00,15:48:00,27780.0,F,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.062,N,25.2565615,-80.3108042,7.0,9.02,3.71,9.47,13.43,L,,yes
19,set002-2-18-2020-B1_19.txt,T1,B-1,B,1,2,0.4,35039.86,13903.02,0.0,35036.34,0.99,35473.75,0.62,2020-02-18,9:20:00,19:12:07,35527.0,F,Key Largo,Key Largo,JP,C. corindum,Y,C,,0.05,N,25.1284578,-80.4080913,,7.54,3.41,8.42,11.99,L,,yes
32,set002-2-18-2020-B1_32.txt,T1,B-1,B,1,2,0.34,213.84,70.37,198.98,198.98,0.07,3234.23,0.46,2020-02-18,8:42:00,09:16:00,2040.0,F,North Key Largo,North Key Largo,Carysfort,C. corindum,N,,,0.064,N,25.2565615,-80.3108042,,8.17,3.54,9.33,12.79,L,wings torn at the end,yes
15,set002-2-18-2020-B2_15.txt,T1,B-2,B,2,2,0.27,75.03,10.68,0.0,53.44,0.02,3102.51,0.36,2020-02-18,8:06:00,08:38:00,1920.0,M,Key Largo,Key Largo,JP,C. corindum,Y,B,,0.042,N,25.1284578,-80.4080913,,6.53,3.08,8.08,11.31,L,,yes
164,set002-2-18-2020-B2_164.txt,T1,B-2,B,2,2,0.2,28935.42,5809.89,63.47,28593.62,0.95,30516.39,0.59,2020-02-18,9:21:00,17:50:33,30573.0,F,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.053,N,27.298631,-81.36615,61.0,6.38,3.46,9.1,12.75,L,,yes
329,set002-2-18-2020-B2_329.txt,T1,B-2,B,2,2,0.0,0.0,1.26,0.0,0.0,0.0,2371.07,0.0,2020-02-18,8:42:00,09:16:00,2040.0,F,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.078,Y,25.273488500000006,-80.3040957,221.0,8.49,3.25,8.52,12.17,L,,yes
106,set002-2-18-2020-B3_106.txt,T1,B-3,B,3,2,0.0,0.0,1.26,0.0,0.0,0.0,2111.67,0.0,2020-02-18,14:21:00,14:51:00,1800.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.046,Y,24.96424,-80.5673321,18.0,7.29,3.16,8.15,11.51,L,,yes
147,set002-2-18-2020-B3_147.txt,T1,B-3,B,3,2,0.3,690.3,6.91,0.0,646.27,0.29,2389.27,0.32,2020-02-18,8:45:00,09:16:00,1860.0,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,Y,B,,0.066,N,25.286747,-80.290592,56.0,8.04,3.32,8.36,11.72,L,,yes
219,set002-2-18-2020-B3_219.txt,T1,B-3,B,3,2,0.32,1293.33,3.14,0.0,1285.05,0.41,3143.91,0.42,2020-02-18,8:06:00,08:38:00,1920.0,F,Key Largo,Key Largo,JP,C. corindum,N,,,0.049,Y,25.1284578,-80.4080913,30.0,7.62,3.14,8.16,11.49,L,,yes
270,set002-2-18-2020-B3_270.txt,T1,B-3,B,3,2,0.25,2472.21,593.12,0.0,2472.21,0.66,3744.19,0.57,2020-02-18,14:54:00,15:48:00,3240.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.027000000000000003,N,27.298631,-81.36615,,5.43,2.88,7.66,10.56,L,,yes
431,set002-2-18-2020-B3_431.txt,T1,B-3,B,3,2,0.23,17464.58,3931.9,0.0,17464.58,0.98,17790.99,0.42,2020-02-18,9:22:00,14:18:00,17760.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,BC,,0.04,N,25.273488500000006,-80.3040957,,6.13,3.22,8.68,11.83,L,,yes
442,set002-2-18-2020-B3_442.txt,T1,B-3,B,3,2,0.33,25.62,7.54,0.0,10.14,0.01,1916.91,0.56,2020-02-18,15:55:00,16:29:00,2040.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,B,,0.029,N,25.2565615,-80.3108042,,5.86,2.91,7.99,11.06,L,,yes
