ID,died?,chamber,set_number,test_date,time_start,time_end,next_day?,population,flew,flight_type,mass,eggs,NOTES,trial_type
322,,A-2,3,2.19.2020,15:01:00,17:08:00,,North Key Largo,Y,C,0.046,N,,T1
418,,B-2,3,2.19.2020,15:02:00,21:03:42,Y,North Key Largo,Y,C,0.046,N,,T1
33,,A-4,3,2.19.2020,15:31:00,22:01:46,Y,North Key Largo,Y,C,0.044,N,,T1
292,,A-3,3,2.19.2020,16:01:00,16:31:00,,Gainesville,N,,0.088,N,,T1
227,,A-3,3,2.19.2020,16:31:00,17:01:00,,North Key Largo,N,,0.112,Y,,T1
274,,A-2,4,2.20.2020,8:15:00,08:45:00,,Lake Wales,N,,0.042,N,,T1
1,,A-3,4,2.20.2020,8:15:00,08:50:00,,Plantation Key,Y,C,0.038,N,,T1
69,,A-4,4,2.20.2020,8:15:00,08:45:00,,Lake Wales,Y,B,0.060,N,,T1
224,,B-1,4,2.20.2020,8:15:00,09:26:00,,North Key Largo,Y,BC,0.047,N,,T1
159,,B-2,4,2.20.2020,8:15:00,08:45:00,,Homestead,N,,0.032,N,,T1
107,,B-3,4,2.20.2020,8:15:00,08:45:00,,Plantation Key,Y,B,0.036,N,,T1
409,,B-4,4,2.20.2020,8:15:00,08:45:00,,Key Largo,Y,B,0.029,N,,T1
149,,A-2,4,2.20.2020,8:50:00,09:27:00,,North Key Largo,N,,0.082,Y,,T1
371,,A-4,4,2.20.2020,8:51:00,09:27:00,,Lake Placid,Y,C,0.031,N,,T1
320,,B-2,4,2.20.2020,8:52:00,09:27:00,,Key Largo,N,,0.047,N,,T1
44,,B-3,4,2.20.2020,8:53:00,09:27:00,,Homestead,Y,B,0.062,N,,T1
375,,B-4,4,2.20.2020,8:54:00,18:46:12,Y,Lake Wales,Y,C,0.063,N,,T1
71,,A-3,4,2.20.2020,8:55:00,17:18:47,Y,Leesburg,Y,C,0.035,N,,T1
104,,A-2,4,2.20.2020,9:30:00,10:05:00,,Plantation Key,N,,0.057,N,,T1
360,,A-4,4,2.20.2020,9:30:00,10:05:00,,North Key Largo,N,,0.106,Y,,T1
155,,B-1,4,2.20.2020,9:30:00,10:05:00,,Homestead,N,,0.092,Y,,T1
257,,B-2,4,2.20.2020,9:30:00,10:05:00,,Homestead,Y,BC,0.042,N,,T1
396,,B-3,4,2.20.2020,9:30:00,10:05:00,,Key Largo,Y,B,0.051,N,,T1
50,,A-2,4,2.20.2020,10:08:00,10:41:00,,Homestead,N,,0.048,N,,T1
170,,A-4,4,2.20.2020,10:08:00,10:42:00,,Lake Placid,Y,B,0.045,N,,T1
229,,B-1,4,2.20.2020,10:09:00,10:42:00,,North Key Largo,N,,0.095,Y,,T1
66,,B-2,4,2.20.2020,10:10:00,10:42:00,,Lake Wales,Y,B,0.036,N,,T1
176,,B-3,4,2.20.2020,10:11:00,10:43:00,,Lake Wales,N,,0.058,Y,,T1
145,,A-2,4,2.20.2020,10:46:00,18:38:39,Y,North Key Largo,Y,C,0.046,N,,T1
244,,A-4,4,2.20.2020,10:47:00,11:21:00,,North Key Largo,N,,0.115,Y,,T1
132,,B-1,4,2.20.2020,10:48:00,11:21:00,,North Key Largo,N,,0.074,N,,T1
376,,B-2,4,2.20.2020,10:49:00,11:22:00,,Lake Wales,N,,0.031,N,,T1
425,,B-3,4,2.20.2020,10:50:00,11:22:00,,North Key Largo,Y,B,0.027,N,,T1
167,,A-4,4,2.20.2020,11:24:00,11:56:00,,Lake Placid,N,,0.029,N,,T1
334,,B-1,4,2.20.2020,11:24:00,22:01:55,Y,North Key Largo,Y,C,0.056,N,,T1
406,,B-2,4,2.20.2020,11:25:00,11:56:00,,Key Largo,Y,B,0.032,N,,T1
434,,A-2,5,2.21.2020,8:28:00,09:00:00,,North Key Largo,N,,0.037,N,,T1
126,,A-3,5,2.21.2020,8:28:00,09:00:00,,North Key Largo,N,,0.074,Y,,T1
393,,A-4,5,2.21.2020,8:28:00,09:00:00,,Plantation Key,N,,0.100,Y,,T1
226,,B-1,5,2.21.2020,8:28:00,09:00:00,,North Key Largo,Y,B,0.057,N,,T1
125,,B-2,5,2.21.2020,8:28:00,09:30:00,,North Key Largo,Y,C,0.043,N,,T1
389,,B-3,5,2.21.2020,8:28:00,09:00:00,,Plantation Key,N,,0.105,N,,T1
91,,B-4,5,2.21.2020,8:28:00,09:00:00,,North Key Largo,N,,0.079,Y,,T1
86,,A-2,5,2.21.2020,9:04:00,09:39:00,,Gainesville,N,,0.033,N,,T1
102,,A-3,5,2.21.2020,9:05:00,09:39:00,,Plantation Key,Y,B,0.043,N,,T1
271,,A-4,5,2.21.2020,9:06:00,12:34:00,,Lake Wales,Y,C,0.050,N,,T1
5,,B-1,5,2.21.2020,9:07:00,09:39:00,,Plantation Key,N,,0.087,Y,DATA COL: did not fly from the windaq file,T1
332,,B-3,5,2.21.2020,9:08:00,09:57:00,,North Key Largo,Y,C,0.029,N,,T1
41,,B-4,5,2.21.2020,9:08:00,09:39:00,,Homestead,N,,0.122,Y,DATA COL: did not fly from the windaq file but recording also had voltage problem,T1
216,,A-2,5,2.21.2020,9:41:00,10:17:00,,Key Largo,N,,0.047,N,,T1
6,,A-3,5,2.21.2020,9:41:00,11:14:00,,Plantation Key,Y,C,0.042,N,DATA COL: time_end from windaq file,T1
351,,B-1,5,2.21.2020,9:42:00,13:13:00,,North Key Largo,Y,BC,0.034,N,,T1
306,,B-2,5,2.21.2020,9:42:00,13:12:00,,Plantation Key,Y,C,0.041,N,BUG: flying in place at 10:23 - look at windaq file to see what flying-in-place motion looks like; time_end from windaq file,T1
248,,B-4,5,2.21.2020,9:43:00,10:48:00,,North Key Largo,Y,C,0.037,N,,T1
433,,A-2,5,2.21.2020,10:18:00,10:49:00,,North Key Largo,Y,B,0.035,N,,T1
321,,B-3,5,2.21.2020,10:19:00,10:49:00,,North Key Largo,N,,0.050,Y,,T1
45,,A-2,5,2.21.2020,10:50:00,11:20:00,Y,Homestead,Y,B,0.031,N,PAINT: paint fell off between 20-30 min into the trial,T1
109,,B-3,5,2.21.2020,10:50:00,11:20:00,,Plantation Key,N,,0.053,Y,,T1
9,,A-1,6,2.24.2020,8:34:00,12:19:00,,Plantation Key,Y,C,0.043,N,,T1
218,,A-2,6,2.24.2020,8:34:00,09:13:00,,Key Largo,Y,B,0.046,N,,T1
419,,A-3,6,2.24.2020,8:35:00,09:14:00,,North Key Largo,N,,0.037,N,,T1
262,,A-4,6,2.24.2020,8:36:00,12:19:00,,Lake Placid,Y,C,0.037,N,SENSOR: sudden drop to 1/2 voltage (baseline @ 2 V),T1
250,,B-1,6,2.24.2020,8:40:00,09:14:00,,North Key Largo,N,,0.040,N,,T1
72,,B-2,6,2.24.2020,8:40:00,09:14:00,,Leesburg,Y,B,0.044,N,,T1
2,,B-3,6,2.24.2020,8:40:00,09:14:00,,Plantation Key,N,,0.037,N,,T1
403,,B-4,6,2.24.2020,8:40:00,18:38:24,Y,Plantation Key,Y,C,0.054,N,,T1
420,,A-2,6,2.24.2020,9:15:00,09:52:00,,North Key Largo,N,,0.079,Y,,T1
256,,A-3,6,2.24.2020,9:18:00,09:52:00,,Homestead,N,,0.034,N,,T1
158,,B-1,6,2.24.2020,9:19:00,09:52:00,,Homestead,N,,0.024,N,,T1
405,,B-2,6,2.24.2020,9:20:00,09:52:00,,Plantation Key,N,,0.064,Y,,T1
43,,B-3,6,2.24.2020,9:20:00,09:52:00,,Homestead,N,,0.062,Y,,T1
7,,A-2,6,2.24.2020,9:54:00,21:16:42,Y,Plantation Key,Y,C,0.064,N,,T1
16,,A-3,6,2.24.2020,9:55:00,10:29:00,,Key Largo,N,,0.045,N,,T1
187,,B-1,6,2.24.2020,9:56:00,10:29:00,,Leesburg,N,,0.117,Y,,T1
390,,B-2,6,2.24.2020,9:57:00,10:29:00,,Plantation Key,N,,0.049,Y,,T1
103,,B-3,6,2.24.2020,9:58:00,10:29:00,,Plantation Key,N,,0.050,N,,T1
81,,A-3,6,2.24.2020,10:30:00,11:05:00,,Gainesville,N,,0.038,N,,T1
146,,B-1,6,2.24.2020,10:31:00,11:05:00,,North Key Largo,N,,0.029,N,,T1
240,,B-2,6,2.24.2020,10:32:00,11:05:00,,North Key Largo,Y,B,0.039,N,,T1
230,,B-3,6,2.24.2020,10:33:00,11:05:00,,North Key Largo,Y,B,0.039,N,,T1
206,,A-3,6,2.24.2020,11:07:00,11:42:00,,Plantation Key,N,,0.038,N,,T1
217,,B-1,6,2.24.2020,11:08:00,11:42:00,,Key Largo,N,,0.107,Y,,T1
124,,B-2,6,2.24.2020,11:09:00,11:42:00,,North Key Largo,Y,B,0.040,N,,T1
233,,B-3,6,2.24.2020,11:10:00,11:42:00,,North Key Largo,N,,0.066,Y,,T1
281,,A-3,6,2.24.2020,11:45:00,12:19:00,,Leesburg,Y,B,0.030,N,,T1
417,,B-1,6,2.24.2020,11:46:00,12:19:00,,North Key Largo,Y,B,0.037,N,,T1
205,,B-2,6,2.24.2020,11:47:00,12:19:00,,Plantation Key,Y,B,0.039,N,,T1
415,,B-3,6,2.24.2020,11:47:00,12:19:00,,North Key Largo,Y,CB,0.042,N,,T1
319,,A-1,6,2.24.2020,13:35:00,14:11:00,,Key Largo,Y,B,0.099,N,,T1
110,,A-3,6,2.24.2020,13:36:00,14:11:00,,Plantation Key,Y,B,0.028,N,,T1
118,,A-4,6,2.24.2020,13:39:00,14:11:00,,Key Largo,N,,0.040,N,,T1
34,,B-1,6,2.24.2020,13:40:00,15:25:00,,North Key Largo,Y,C,0.046,N,,T1
259,,B-2,6,2.24.2020,13:40:00,14:11:00,,Homestead,Y,B,0.032,N,,T1
294,,A-1,6,2.24.2020,14:15:00,14:50:00,,Gainesville,Y,B,0.033,N,,T1
416,,A-3,6,2.24.2020,14:16:00,14:50:00,,North Key Largo,Y,B,0.034,N,,T1
47,,B-2,6,2.24.2020,14:17:00,22:00:57,Y,Homestead,Y,C,0.059,N,,T1
411,,B-3,6,2.24.2020,14:19:00,14:50:00,,North Key Largo,Y,B,0.036,N,,T1
328,,A-1,6,2.24.2020,14:53:00,15:35:00,,North Key Largo,N,,0.074,Y,,T1
8,,A-3,6,2.24.2020,14:54:00,15:25:00,,Plantation Key,N,,0.109,Y,,T1
13,,B-3,6,2.24.2020,14:55:00,15:35:00,,Key Largo,N,,0.131,Y,,T1
335,,A-1,6,2.24.2020,15:38:00,16:00:00,,North Key Largo,N,,0.033,N,BUG: paint on antennae-freaked out ,T1
201,,A-1,7,2.25.2020,8:05:00,10:59:00,,Plantation Key,Y,C,0.035,N,,T1
346,,A-2,7,2.25.2020,8:05:00,08:37:00,,North Key Largo,N,,0.179,Y,,T1
53,,A-3,7,2.25.2020,8:05:00,08:37:00,,Lake Placid,Y,B,0.106,Y,,T1
349,,A-4,7,2.25.2020,8:05:00,08:37:00,,North Key Largo,N,,0.036,N,,T1
439,,B-1,7,2.25.2020,8:07:00,08:37:00,,North Key Largo,Y,B,0.033,N,,T1
93,,B-2,7,2.25.2020,8:07:00,08:37:00,,North Key Largo,N,,0.053,N,,T1
310,,B-3,7,2.25.2020,8:07:00,08:37:00,,Plantation Key,Y,B,0.045,N,,T1
87,,B-4,7,2.25.2020,8:07:00,08:37:00,,Gainesville,Y,B,0.032,N,,T1
237,,A-2,7,2.25.2020,8:42:00,09:18:00,,North Key Largo,N,,0.072,Y,,T1
235,,A-3,7,2.25.2020,8:43:00,09:18:00,,North Key Largo,Y,B,0.039,N,,T1
266,,A-4,7,2.25.2020,8:44:00,09:18:00,,Lake Placid,Y,B,0.030,N,,T1
260,,B-1,7,2.25.2020,8:45:00,09:18:00,,Homestead,N,,0.026,N,,T1
314,,B-2,7,2.25.2020,8:46:00,09:18:00,,Key Largo,N,,0.070,Y,,T1
99,,B-3,7,2.25.2020,8:47:00,09:18:00,,North Key Largo,N,,0.030,N,,T1
38,,B-4,7,2.25.2020,8:48:00,11:37:00,,North Key Largo,Y,C,0.040,N,,T1
382,,A-2,7,2.25.2020,9:20:00,13:39:00,,Plantation Key,Y,C,0.034,N,,T1
209,,A-3,7,2.25.2020,9:21:00,11:59:00,,Plantation Key,Y,C,0.038,N,,T1
42,,A-4,7,2.25.2020,9:22:00,09:56:00,,Homestead,Y,B,0.069,N,,T1
282,,B-1,7,2.25.2020,9:23:00,19:14:01,Y,Leesburg,Y,C,0.034,N,,T1
161,,B-2,7,2.25.2020,9:24:00,16:03:00,,Lake Placid,Y,C,0.066,N,,T1
413,,B-3,7,2.25.2020,9:25:00,09:56:00,,North Key Largo,N,,0.049,N,,T1
56,,A-4,7,2.25.2020,9:57:00,15:28:00,,Lake Placid,Y,C,0.036,N,,T1
215,,B-3,7,2.25.2020,9:58:00,22:01:09,Y,Key Largo,Y,C,0.048,N,,T1
246,,A-1,7,2.25.2020,11:00:00,11:30:00,,North Key Largo,N,,0.133,Y,,T1
394,,A-1,7,2.25.2020,11:30:00,21:46:50,Y,Plantation Key,Y,C,0.026,N,,T1
25,,A-3,7,2.25.2020,12:00:00,12:31:00,,North Key Largo,Y,C,0.052,N,,T1
192,,B-4,7,2.25.2020,12:00:00,12:30:00,,Gainesville,N,,0.054,N,,T1
428,,B-4,7,2.25.2020,12:30:00,13:00:00,,North Key Largo,N,,0.060,Y,,T1
222,,A-2,7,2.25.2020,13:42:00,14:16:00,,North Key Largo,N,,0.146,Y,,T1
263,,A-3,7,2.25.2020,13:44:00,14:16:00,,Lake Placid,N,,0.061,N,,T1
46,,B-4,7,2.25.2020,13:46:00,14:16:00,,Homestead,Y,B,0.033,N,,T1
59,,A-2,7,2.25.2020,14:20:00,14:52:00,,Lake Placid,N,,0.089,Y,,T1
184,,A-3,7,2.25.2020,14:20:00,14:52:00,,Leesburg,Y,B,0.027,N,,T1
327,,B-4,7,2.25.2020,14:20:00,14:52:00,,North Key Largo,N,,0.078,Y,,T1
188,,A-2,7,2.25.2020,14:55:00,15:28:00,,Leesburg,N,,0.050,Y,,T1
30,,A-3,7,2.25.2020,14:56:00,15:28:00,,North Key Largo,N,,0.091,Y,,T1
254,,B-4,7,2.25.2020,14:57:00,15:28:00,,Homestead,Y,B,0.071,Y,,T1
383,,A-2,7,2.25.2020,15:30:00,18:30:38,Y,Plantation Key,Y,C,0.050,N,,T1
339,,A-3,7,2.25.2020,15:30:00,16:03:00,,North Key Largo,N,,NA,NA,,T1
48,,A-4,7,2.25.2020,15:31:00,16:03:00,,Homestead,N,,NA,NA,,T1
