ID,population,sex,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder
160,HS,F,6.98,3.15,8.23,11.59,L,,04.03.2020,04.03.2020,AB
161,LP,F,6.55,3.27,9.44,12.93,L,,04.03.2020,04.03.2020,AB
164,LP,F,6.38,3.46,9.1,12.75,L,,04.03.2020,04.03.2020,AB
167,LP,M,4.77,2.62,6.73,9.41,L,,04.03.2020,04.03.2020,AB
168,LP,F,7.38,3.4,9.21,12.73,L,,04.03.2020,04.03.2020,AB
169,LP,M,5.88,3.05,9,12.01,L,,04.03.2020,04.03.2020,AB
170,LP,M,5.73,3.17,9.12,11.97,L,wings torn at the end,04.03.2020,04.03.2020,AB
176,LW,F,7.5,3.28,8.63,12.08,L,,04.03.2020,04.03.2020,AB
179,LW,F,6.99,3.39,8.98,12.65,L,,04.03.2020,04.03.2020,AB
183,LB,M,5.59,2.99,7.82,11.02,L,,04.03.2020,04.03.2020,AB
184,LB,M,5.35,2.92,7.45,10.24,L,,04.03.2020,04.03.2020,AB
187,LB,F,6.14,3.66,8.79,12.14,L,,04.03.2020,04.03.2020,AB
188,LB,F,6.17,2.97,8.04,11.35,L,,04.03.2020,04.03.2020,AB
189,LB,F,6.07,3.45,8.93,12.33,L,,04.03.2020,04.03.2020,AB
190,LB,M,5.99,3.22,8.59,11.72,L,wings torn at the end,04.03.2020,04.03.2020,AB
192,GV,M,6.3,3.33,8.29,11.49,L,wings torn at the end,04.03.2020,04.03.2020,AB
193,GV,M,5.73,3.1,6.99,10.13,L,wings torn at the end,04.03.2020,04.03.2020,AB
194,GV,M,5.61,3.31,8.84,11.93,L,,04.03.2020,04.03.2020,AB
196,GV,M,5.65,2.99,7.95,11.06,L,,04.03.2020,04.03.2020,AB
197,GV,M,5.34,2.8,7.67,10.67,L,,04.03.2020,04.03.2020,AB
199,GV,F,6.49,3.22,8.96,12.25,L,,04.03.2020,04.03.2020,AB
200,GV,M,5.67,2.97,8.31,11.47,L,,04.03.2020,04.03.2020,AB
201,PK,M,5.72,3.05,8.13,11.52,L,,04.03.2020,04.03.2020,AB
202,PK,M,5.59,3.13,8.35,11.45,L,,04.03.2020,04.03.2020,AB
203,PK,M,5.82,3.34,8.52,11.93,L,,04.03.2020,04.03.2020,AB
204,PK,M,5.79,2.7,7.65,10.51,L,thorax torn on one side,04.03.2020,04.03.2020,AB
205,PK,M,5.81,2.96,8.47,11.75,L,wings torn at the end,04.03.2020,04.03.2020,AB
206,PK,M,5.51,2.82,7.41,10.82,L,,04.03.2020,04.03.2020,AB
208,PK,M,5.77,2.86,8,11.06,L,,04.03.2020,04.03.2020,AB
209,PK,M,5.99,2.96,7.84,10.83,L,,04.03.2020,04.03.2020,AB
210,PK,F,9.02,3.45,9.36,13.06,L,,04.03.2020,04.03.2020,AB
211,KL,F,7.7,3.36,9.15,12.65,L,,04.06.2020,04.09.2020,AB
212,KL,M,6.11,3.01,8.43,11.32,L,,04.06.2020,04.09.2020,AB
213,KL,M,5.99,3.16,8.02,11.12,L,wings torn at the end,04.06.2020,04.09.2020,AB
214,KL,F,7.98,3.57,8.95,12.72,L,,04.06.2020,04.09.2020,AB
215,KL,M,6.16,3.09,8.38,11.5,L,,04.06.2020,04.09.2020,AB
216,KL,M,6.54,2.99,8.03,11.33,L,,04.06.2020,04.09.2020,AB
217,KL,F,8.1,3.79,9.83,13.54,L,,04.06.2020,04.09.2020,AB
218,KL,M,5.94,3.04,8.7,11.56,L,,04.06.2020,04.09.2020,AB
219,KL,F,7.62,3.14,8.16,11.49,L,,04.06.2020,04.09.2020,AB
221,NKL,F,7.4,3.34,8.49,12.06,LS,,04.06.2020,04.09.2020,AB
222,NKL,F,7.61,3.82,9.8,13.86,L,,04.06.2020,04.09.2020,AB
223,NKL,M,5.72,3.06,7.8,10.72,L,,04.06.2020,04.09.2020,AB
224,NKL,M,6.85,3.08,8.92,11.99,L,,04.06.2020,04.09.2020,AB
225,NKL,M,5.34,2.93,7.63,10.63,L,,04.06.2020,04.09.2020,AB
226,NKL,F,6.6,2.78,7.29,10.45,LS,,04.06.2020,04.09.2020,AB
227,NKL,F,7.9,3.33,8.5,12.37,L,,04.06.2020,04.09.2020,AB
228,NKL,M,6.39,3.18,8.41,11.86,L,,04.06.2020,04.09.2020,AB
229,NKL,F,8.17,3.48,9.37,13.09,L,,04.06.2020,04.09.2020,AB
230,NKL,M,5.78,2.94,7.97,11.14,L,,04.06.2020,04.09.2020,AB
231,NKL,M,5.94,2.89,7.83,11,L,,04.06.2020,04.09.2020,AB
232,NKL,M,6.4,3.08,8.37,11.69,L,,04.06.2020,04.09.2020,AB
233,NKL,F,6.39,2.88,7.56,10.7,L,,04.06.2020,04.09.2020,AB
234,NKL,F,7.35,3.74,9.77,13.2,L,,04.06.2020,04.09.2020,AB
235,NKL,M,5.58,3.11,8.65,11.52,L,,04.06.2020,04.09.2020,AB
236,NKL,M,6.17,2.61,8.01,10.53,L,thorax torn on one side,04.06.2020,04.09.2020,AB
237,NKL,F,8.51,3.67,9.15,12.95,l,,04.06.2020,04.09.2020,AB
238,NKL,M,5.55,2.77,6.58,9.52,L,wings torn at the end,04.06.2020,04.09.2020,AB
239,NKL,M,5.42,2.82,7.6,10.59,L,,04.06.2020,04.09.2020,AB
240,NKL,M,6.16,3.2,8.37,11.71,L,,04.06.2020,04.09.2020,AB
242,NKL,M,6.15,3.04,8.24,11.48,L,,04.06.2020,04.09.2020,AB
244,NKL,F,7.99,3.5,8.71,12.31,L,,04.06.2020,04.09.2020,AB
245,NKL,M,6.38,2.99,7.66,10.66,L,,04.06.2020,04.09.2020,AB
247,NKL,M,5.77,2.91,7.4,10.49,L,,04.06.2020,04.09.2020,AB
248,NKL,M,6.35,3.17,8.53,11.52,L,,04.06.2020,04.09.2020,AB
249,NKL,M,5.95,3.11,8.26,11.56,L,,04.06.2020,04.09.2020,AB
250,NKL,M,5.79,3.06,8.16,11.14,L,,04.06.2020,04.09.2020,AB
252,HS,M,5.81,2.8,7.91,10.81,L,,04.06.2020,04.09.2020,AB
253,HS,F,7.68,3.76,10.4,14.34,L,,04.06.2020,04.09.2020,AB
